ID,drydown,nutrient_deficiency,weed_cluster,water,endrow,double_plant,waterway,storm_damage,planter_skip
1238UQC9Y_4596-2251-5108-2763,0,0,0,1,0,0,0,0,0
12JFH6CLF_3424-4138-3936-4650,0,0,0,0,0,0,0,0,1
167KTRRUZ_2011-5040-2523-5552,1,0,0,0,0,0,0,0,0
1238UQC9Y_5108-1739-5620-2251,0,0,0,1,0,0,0,0,0
167KTRRUZ_2011-4528-2523-5040,1,0,0,0,0,0,0,0,0
167KTRRUZ_1464-10466-1976-10978,0,0,0,0,0,0,1,0,0
12JFH6CLF_733-448-1245-960,0,0,0,0,0,0,0,0,1
167KTRRUZ_2327-6970-2839-7482,0,0,0,0,0,0,1,0,0
167KTRRUZ_3371-4147-3883-4659,1,0,0,0,0,0,0,0,0
167KTRRUZ_2488-10466-3000-10978,0,0,0,0,0,0,1,0,0
167KTRRUZ_3000-9954-3512-10466,0,0,0,0,0,0,1,0,0
167KTRRUZ_2523-4528-3035-5040,1,0,0,0,0,0,0,0,0
167KTRRUZ_2488-9954-3000-10466,0,0,0,0,0,0,1,0,0
167KTRRUZ_3351-6970-3863-7482,0,0,0,0,0,0,1,0,0
167KTRRUZ_2839-6970-3351-7482,0,0,0,0,0,0,1,0,0
167KTRRUZ_4024-8930-4536-9442,0,0,0,0,0,0,1,0,0
167KTRRUZ_4024-9442-4536-9954,0,0,0,0,0,0,1,0,0
167KTRRUZ_3512-9954-4024-10466,0,0,0,0,0,0,1,0,0
167KTRRUZ_3863-6970-4375-7482,0,0,0,0,0,0,1,0,0
167KTRRUZ_3512-9442-4024-9954,0,0,0,0,0,0,1,0,0
167KTRRUZ_4536-8418-5048-8930,0,0,0,0,0,0,1,0,0
167KTRRUZ_4375-6970-4887-7482,1,0,0,0,0,0,1,0,0
167KTRRUZ_4314-2522-4826-3034,1,0,0,0,0,0,0,0,0
167KTRRUZ_4314-3034-4826-3546,1,0,0,0,0,0,0,0,0
167KTRRUZ_4536-7394-5048-7906,1,0,0,0,0,0,0,0,0
167KTRRUZ_4536-8930-5048-9442,0,0,0,0,0,0,1,0,0
167KTRRUZ_5146-3640-5658-4152,1,0,0,0,0,0,0,0,0
167KTRRUZ_4887-6970-5399-7482,1,0,0,0,0,0,1,0,0
167KTRRUZ_4634-3640-5146-4152,1,0,0,0,0,0,0,0,0
16RQA6NB1_2362-523-2874-1035,0,0,0,0,0,1,0,0,0
167KTRRUZ_5560-7394-6072-7906,0,0,0,0,0,0,1,0,0
167KTRRUZ_4634-4152-5146-4664,1,0,0,0,0,0,0,0,0
167KTRRUZ_4983-7378-5495-7890,1,0,0,0,0,0,0,0,0
167KTRRUZ_5048-7906-5560-8418,0,0,0,0,0,0,1,0,0
167KTRRUZ_4989-12049-5501-12561,1,0,0,0,0,0,0,0,0
167KTRRUZ_4826-3034-5338-3546,1,0,0,0,0,0,0,0,0
167KTRRUZ_952-11490-1464-12002,0,0,0,0,0,0,1,0,0
16RQA6NB1_3454-4489-3966-5001,0,0,0,0,0,1,0,0,0
167KTRRUZ_5146-4152-5658-4664,1,0,0,0,0,0,0,0,0
167KTRRUZ_5399-6970-5911-7482,0,0,0,0,0,0,1,0,0
16RQA6NB1_3507-5330-4019-5842,0,0,0,0,0,1,0,0,0
167KTRRUZ_952-10978-1464-11490,0,0,0,0,0,0,1,0,0
171UN1HAL_1611-738-2123-1250,0,0,0,0,0,0,0,0,1
171UN1HAL_3402-8263-3914-8775,0,0,0,0,0,0,0,0,1
18FKVY218_2386-2720-2898-3232,0,0,0,0,1,0,0,0,0
171UN1HAL_3492-546-4004-1058,0,0,0,0,0,0,0,0,1
18FKVY218_5737-3209-6249-3721,0,0,0,0,1,0,0,0,0
18HVF1Z1Y_1268-5251-1780-5763,1,0,0,0,0,0,0,0,0
18FKVY218_617-1928-1129-2440,0,0,0,0,1,0,0,0,0
18FKVY218_914-1020-1426-1532,0,0,0,0,1,0,0,0,0
18FKVY218_1044-2298-1556-2810,0,0,0,0,1,0,0,0,0
18FKVY218_630-1621-1142-2133,0,0,0,0,1,0,0,0,0
18FKVY218_796-1309-1308-1821,0,0,0,0,1,0,0,0,0
18FKVY218_3108-851-3620-1363,0,0,0,0,1,0,0,0,0
18HVF1Z1Y_1268-6275-1780-6787,1,0,0,0,0,0,0,0,0
18FKVY218_5773-2871-6285-3383,0,0,0,0,1,0,0,0,0
18FKVY218_5879-2570-6391-3082,0,0,0,0,1,0,0,0,0
18HVF1Z1Y_1268-5763-1780-6275,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1491-1006-2003-1518,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1462-4270-1974-4782,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1491-3054-2003-3566,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1491-3566-2003-4078,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1780-6275-2292-6787,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1542-1950-2054-2462,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1491-4590-2003-5102,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1542-1438-2054-1950,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_2003-2030-2515-2542,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_2003-3054-2515-3566,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1780-5763-2292-6275,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1974-4782-2486-5294,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1542-2462-2054-2974,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_2003-1518-2515-2030,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1780-5251-2292-5763,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_2003-1006-2515-1518,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_2054-2462-2566-2974,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_1974-4270-2486-4782,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_2003-3566-2515-4078,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_2292-5763-2804-6275,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_2486-4270-2998-4782,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_2515-4590-3027-5102,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3539-2030-4051-2542,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_2515-3054-3027-3566,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3027-2542-3539-3054,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3495-5101-4007-5613,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3027-3054-3539-3566,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3539-2542-4051-3054,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3539-4078-4051-4590,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3495-5613-4007-6125,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3539-3566-4051-4078,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3027-3566-3539-4078,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3027-4590-3539-5102,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_2515-3566-3027-4078,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3495-6125-4007-6637,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_2998-4270-3510-4782,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3539-3054-4051-3566,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_3539-4590-4051-5102,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_4007-5101-4519-5613,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_4051-2030-4563-2542,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_4051-1518-4563-2030,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_4051-4590-4563-5102,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_5075-4078-5587-4590,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_5587-3566-6099-4078,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_4563-3054-5075-3566,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_4051-1006-4563-1518,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_4007-6125-4519-6637,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_4563-4078-5075-4590,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_4563-3566-5075-4078,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_4051-2542-4563-3054,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_4007-5613-4519-6125,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_5587-4590-6099-5102,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_5075-494-5587-1006,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_5075-3566-5587-4078,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_4563-494-5075-1006,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_5587-494-6099-1006,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_756-5251-1268-5763,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_756-5763-1268-6275,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_756-6275-1268-6787,1,0,0,0,0,0,0,0,0
18IXWP6XB_1106-7921-1618-8433,0,0,1,0,0,0,0,0,0
18HVF1Z1Y_950-4270-1462-4782,1,0,0,0,0,0,0,0,0
18HVF1Z1Y_950-4782-1462-5294,1,0,0,0,0,0,0,0,0
18IXWP6XB_1965-7903-2477-8415,0,0,1,0,0,0,0,0,0
18IXWP6XB_1846-2085-2358-2597,0,0,1,0,0,0,0,0,0
18IXWP6XB_1716-4343-2228-4855,0,0,1,0,0,1,0,0,0
18IXWP6XB_1802-7730-2314-8242,0,0,1,0,0,0,0,0,0
18IXWP6XB_1051-501-1563-1013,0,0,1,0,0,0,0,0,0
18IXWP6XB_2570-8078-3082-8590,0,0,1,0,0,0,0,0,0
18IXWP6XB_2671-2546-3183-3058,0,0,1,0,0,0,0,0,0
18IXWP6XB_1680-7989-2192-8501,0,0,1,0,0,0,0,0,0
18IXWP6XB_1644-1847-2156-2359,0,0,1,0,0,0,0,0,0
18IXWP6XB_3412-4756-3924-5268,0,0,1,0,0,0,0,0,0
18IXWP6XB_3082-8078-3594-8590,0,0,1,0,0,0,0,0,0
18IXWP6XB_3689-8059-4201-8571,0,0,1,0,0,0,0,0,0
18UICGW9F_3588-889-4100-1401,0,0,0,0,0,0,1,0,0
18IXWP6XB_742-508-1254-1020,0,0,1,0,0,0,0,0,0
18IXWP6XB_4526-7939-5038-8451,0,0,1,0,0,0,0,0,0
18IXWP6XB_3718-7760-4230-8272,0,0,1,0,0,0,0,0,0
18IXWP6XB_4941-7495-5453-8007,0,0,1,0,0,0,0,0,0
18UICGW9F_1540-2425-2052-2937,0,0,0,0,0,0,1,0,0
18IXWP6XB_3942-6793-4454-7305,0,0,1,0,0,0,0,0,0
18IXWP6XB_4953-8014-5465-8526,0,0,1,0,0,0,0,0,0
18UICGW9F_2564-1401-3076-1913,0,0,0,0,0,0,1,0,0
18IXWP6XB_763-7969-1275-8481,0,0,1,0,0,0,0,0,0
18UICGW9F_1028-2937-1540-3449,0,0,0,0,0,0,1,0,0
18UICGW9F_1028-2425-1540-2937,0,0,0,0,0,0,1,0,0
18UICGW9F_3076-1401-3588-1913,0,0,0,0,0,0,1,0,0
18UICGW9F_4100-377-4612-889,0,0,0,0,0,0,1,0,0
18UICGW9F_4411-433-4923-945,0,0,0,0,0,0,1,0,0
18UICGW9F_2052-1913-2564-2425,0,0,0,0,0,0,1,0,0
18UICGW9F_516-2937-1028-3449,0,0,0,0,0,0,1,0,0
18Z3272TU_1546-2504-2058-3016,1,0,0,0,0,0,0,0,0
18Z3272TU_2058-2504-2570-3016,1,0,0,0,0,0,0,0,0
18Z3272TU_2792-4549-3304-5061,1,0,0,0,0,0,0,0,0
18Z3272TU_2280-4549-2792-5061,1,0,0,0,0,0,0,0,0
18Z3272TU_2009-3389-2521-3901,1,0,0,0,0,0,0,0,0
18Z3272TU_2513-4358-3025-4870,1,0,0,0,0,0,0,0,0
18Z3272TU_3368-4845-3880-5357,1,0,0,0,0,0,0,0,0
18Z3272TU_2344-4845-2856-5357,1,0,0,0,0,0,0,0,0
18Z3272TU_2686-3583-3198-4095,1,0,0,0,0,0,0,0,0
18Z3272TU_2856-4845-3368-5357,1,0,0,0,0,0,0,0,0
18Z3272TU_2856-5357-3368-5869,1,0,0,0,0,0,0,0,0
18Z3272TU_3368-5357-3880-5869,1,0,0,0,0,0,0,0,0
18Z3272TU_2516-3274-3028-3786,1,0,0,0,0,0,0,0,0
18Z3272TU_2725-4120-3237-4632,1,0,0,0,0,0,0,0,0
18Z3272TU_2344-5357-2856-5869,1,0,0,0,0,0,0,0,0
18Z3272TU_3883-4765-4395-5277,1,0,0,0,0,0,0,0,0
18Z3272TU_4331-4393-4843-4905,1,0,0,0,0,0,0,0,0
18Z3272TU_3878-5082-4390-5594,1,0,0,0,0,0,0,0,0
18Z3272TU_4390-5082-4902-5594,1,0,0,0,0,0,0,0,0
18Z3272TU_5513-2058-6025-2570,1,0,0,0,0,0,0,0,0
18Z3272TU_5362-988-5874-1500,1,0,0,0,0,0,0,0,0
18Z3272TU_4850-988-5362-1500,1,0,0,0,0,0,0,0,0
18Z3272TU_5101-3163-5613-3675,1,0,0,0,0,0,0,0,0
18Z3272TU_4931-4468-5443-4980,1,0,0,0,0,0,0,0,0
18Z3272TU_5345-5085-5857-5597,1,0,0,0,0,0,0,0,0
18Z3272TU_4692-2943-5204-3455,1,0,0,0,0,0,0,0,0
18Z3272TU_4449-3052-4961-3564,1,0,0,0,0,0,0,0,0
18Z3272TU_4395-4765-4907-5277,1,0,0,0,0,0,0,0,0
18Z3272TU_5528-2432-6040-2944,1,0,0,0,0,0,0,0,0
18Z3272TU_4517-589-5029-1101,1,0,0,0,0,0,0,0,0
18Z3272TU_5443-4468-5955-4980,1,0,0,0,0,0,0,0,0
18Z3272TU_4833-5085-5345-5597,1,0,0,0,0,0,0,0,0
18Z3272TU_5870-2754-6382-3266,1,0,0,0,0,0,0,0,0
18Z3272TU_5679-4088-6191-4600,1,0,0,0,0,0,0,0,0
18Z3272TU_5955-4468-6467-4980,1,0,0,0,0,0,0,0,0
18Z3272TU_6150-2015-6662-2527,1,0,0,0,0,0,0,0,0
18Z3272TU_6191-4088-6703-4600,1,0,0,0,0,0,0,0,0
18Z3272TU_7007-5228-7519-5740,1,0,0,0,0,0,0,0,0
19CTIZCIH_3102-3836-3614-4348,0,0,0,0,0,0,0,0,1
18Z3272TU_6312-550-6824-1062,1,0,0,0,0,0,0,0,0
18Z3272TU_7519-5228-8031-5740,1,0,0,0,0,0,0,0,0
19CTIZCIH_2590-3836-3102-4348,0,0,0,0,0,0,0,0,1
19CTIZCIH_4126-3836-4638-4348,0,0,0,0,0,0,0,0,1
19CTIZCIH_2078-3836-2590-4348,0,0,0,0,0,0,0,0,1
19CTIZCIH_1851-846-2363-1358,0,0,0,0,0,0,0,0,1
19CTIZCIH_1566-3836-2078-4348,0,0,0,0,0,0,0,0,1
18Z3272TU_6878-4110-7390-4622,1,0,0,0,0,0,0,0,0
19CTIZCIH_3614-3836-4126-4348,0,0,0,0,0,0,0,0,1
18Z3272TU_6456-4212-6968-4724,1,0,0,0,0,0,0,0,0
18Z3272TU_6570-2630-7082-3142,1,0,0,0,0,0,0,0,0
19CTIZCIH_5942-1467-6454-1979,0,0,0,0,0,0,0,0,1
19CTIZCIH_564-1043-1076-1555,0,0,0,0,0,0,0,0,1
19CTIZCIH_5942-2491-6454-3003,0,0,0,0,0,0,0,0,1
19CTIZCIH_5942-1979-6454-2491,0,0,0,0,0,0,0,0,1
19CTIZCIH_5942-955-6454-1467,0,0,0,0,0,0,0,0,1
1AD76MIZN_10387-7882-10899-8394,0,0,0,0,0,0,1,0,0
19CTIZCIH_758-1201-1270-1713,0,0,0,0,0,0,0,0,1
1AD76MIZN_3219-7882-3731-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_1171-8394-1683-8906,0,0,0,0,0,0,1,0,0
19CTIZCIH_964-1411-1476-1923,0,0,0,0,0,0,0,0,1
19CTIZCIH_765-1877-1277-2389,0,0,0,0,0,0,0,0,1
1AD76MIZN_2707-7882-3219-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_1683-7882-2195-8394,0,0,0,0,0,0,1,0,0
19CTIZCIH_8257-4029-8769-4541,0,0,0,0,0,0,0,0,1
1AD76MIZN_2195-7882-2707-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_1171-7882-1683-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_4755-7882-5267-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_5267-7882-5779-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_5779-7882-6291-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_4243-7882-4755-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_3731-7882-4243-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_6291-7882-6803-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_9875-7882-10387-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_7827-7882-8339-8394,0,0,0,0,0,0,1,0,0
1BFUWHD9T_1561-1539-2073-2051,1,0,0,0,0,0,0,0,0
1AD76MIZN_8851-7882-9363-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_8339-7882-8851-8394,0,0,0,0,0,0,1,0,0
1BFUWHD9T_1049-1539-1561-2051,1,0,0,0,0,0,0,0,0
1AD76MIZN_6803-7882-7315-8394,0,0,0,0,0,0,1,0,0
1BFUWHD9T_1049-1027-1561-1539,1,0,0,0,0,0,0,0,0
1AD76MIZN_7315-7882-7827-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_9363-7882-9875-8394,0,0,0,0,0,0,1,0,0
1AD76MIZN_659-8394-1171-8906,0,0,0,0,0,0,1,0,0
1BFUWHD9T_1561-1027-2073-1539,1,0,0,0,0,0,0,0,0
1BFUWHD9T_1561-2051-2073-2563,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2073-1539-2585-2051,1,0,0,0,0,0,0,0,0
1BFUWHD9T_1561-2563-2073-3075,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2073-1027-2585-1539,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2073-2051-2585-2563,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2073-2563-2585-3075,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2733-2213-3245-2725,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2585-1539-3097-2051,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2503-3151-3015-3663,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2503-2127-3015-2639,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2585-1027-3097-1539,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3015-1103-3527-1615,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2733-2725-3245-3237,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2979-1505-3491-2017,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2733-3749-3245-4261,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2733-3237-3245-3749,1,0,0,0,0,0,0,0,0
1BFUWHD9T_2503-2639-3015-3151,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3015-2127-3527-2639,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3015-2639-3527-3151,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3015-3151-3527-3663,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3245-2213-3757-2725,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3245-2725-3757-3237,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3245-3237-3757-3749,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3245-3749-3757-4261,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3245-4261-3757-4773,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3527-1103-4039-1615,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3245-4773-3757-5285,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3757-2725-4269-3237,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3527-2639-4039-3151,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3757-2213-4269-2725,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3527-3151-4039-3663,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3527-2127-4039-2639,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3491-1505-4003-2017,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3757-4261-4269-4773,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3757-3237-4269-3749,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4039-2127-4551-2639,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4039-2639-4551-3151,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4039-1103-4551-1615,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3757-4773-4269-5285,1,0,0,0,0,0,0,0,0
1BFUWHD9T_3816-3962-4328-4474,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4039-3151-4551-3663,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4046-1380-4558-1892,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4046-4452-4558-4964,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4558-4964-5070-5476,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4328-3962-4840-4474,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4558-5476-5070-5988,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4558-3428-5070-3940,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4328-4474-4840-4986,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4558-2404-5070-2916,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4046-4964-4558-5476,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4046-3428-4558-3940,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4558-2916-5070-3428,1,0,0,0,0,0,0,0,0
1BFUWHD9T_4558-868-5070-1380,1,0,0,0,0,0,0,0,0
1BFUWHD9T_5070-5476-5582-5988,1,0,0,0,0,0,0,0,0
1BFUWHD9T_5070-868-5582-1380,1,0,0,0,0,0,0,0,0
1BFUWHD9T_5582-5988-6094-6500,1,0,0,0,0,0,0,0,0
1BFUWHD9T_5582-868-6094-1380,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6094-5988-6606-6500,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6094-868-6606-1380,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6606-1380-7118-1892,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6606-4452-7118-4964,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6606-1892-7118-2404,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6606-2916-7118-3428,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6606-4964-7118-5476,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6606-5476-7118-5988,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6606-2404-7118-2916,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6606-3428-7118-3940,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6606-5988-7118-6500,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6606-868-7118-1380,1,0,0,0,0,0,0,0,0
1BFUWHD9T_6606-3940-7118-4452,1,0,0,0,0,0,0,0,0
1BFUWHD9T_7375-2030-7887-2542,1,0,0,0,0,0,0,0,0
1BFUWHD9T_7375-1518-7887-2030,1,0,0,0,0,0,0,0,0
1BFUWHD9T_7375-3054-7887-3566,1,0,0,0,0,0,0,0,0
1BFUWHD9T_7375-1006-7887-1518,1,0,0,0,0,0,0,0,0
